,0,1,2,3,4,5,6,7,8,9
3180,0.05356216,0.04025269,0.0269928,0.1350555,0.1225243,0.108284,0.09512329,0.0814743,0.06891632,0.05512238
3200,0.04099274,0.02857971,0.1376266,0.1258698,0.1107941,0.09703827,0.08255768,0.06843567,0.05570221,0.04053497
3220,0.02780914,0.138382,0.1242828,0.1122894,0.0968399,0.08348083,0.07048798,0.05679321,0.04143524,0.02799988
3240,0.1403122,0.1285706,0.1127243,0.09837341,0.08535004,0.07074738,0.05680084,0.04146576,0.02750397,0.1419601
3260,0.128067,0.1142426,0.09933472,0.08618164,0.07087708,0.05741119,0.04249573,0.0279541,0.1426697,0.1282959
3280,0.11586,0.1012039,0.08654785,0.07289124,0.05692291,0.04270935,0.02843475,0.1450882,0.1303482,0.1144257
3300,0.1017456,0.08856201,0.07572937,0.0575943,0.04325867,0.02894592,0.1457291,0.1312866,0.1179581,0.103653
3320,0.08882141,0.07359314,0.059021,0.04386902,0.03060913,0.1489258,0.1326599,0.118721,0.1027222,0.08860779
3340,0.07467651,0.05889893,0.04551697,0.02986908,0.1514206,0.1343842,0.1185226,0.1054916,0.09176636,0.07450104
3360,0.05956268,0.04465485,0.02974701,0.1517487,0.1351166,0.1221695,0.1053696,0.0932312,0.07550049,0.05962372
3380,0.04556274,0.03015137,0.1517563,0.1368942,0.1224747,0.1070709,0.09230804,0.07627869,0.06023407,0.04615784
3400,0.03057098,0.1562119,0.1390839,0.1243896,0.1078415,0.09237671,0.07796478,0.06128693,0.04528809,0.03062439
3420,0.1564865,0.1412659,0.1261597,0.1124115,0.09368896,0.07804871,0.06164551,0.04637146,0.03066254,0.1565857
3440,0.1424484,0.127533,0.1100616,0.09584808,0.08059692,0.06241608,0.0478363,0.03184509,0.1579208,0.1439667
3460,0.1291733,0.111618,0.0963974,0.08176422,0.06333923,0.04800415,0.03233337,0.1593323,0.1442032,0.1289749
3480,0.1129608,0.09716797,0.08169556,0.06396484,0.04779053,0.03205872,0.1630936,0.1462555,0.1296844,0.1138992
3500,0.09944916,0.08182526,0.06504059,0.04837036,0.03252411,0.1628647,0.1476822,0.1307144,0.1150208,0.09804535
3520,0.08428192,0.06577301,0.04898834,0.03391266,0.1649704,0.153717,0.1312332,0.1157227,0.09914398,0.08341217
3540,0.0663681,0.04934692,0.03346252,0.1676102,0.1504822,0.1333771,0.1166534,0.1012039,0.08417511,0.06587219
3560,0.04957581,0.03330231,0.1692657,0.1527252,0.1341248,0.1179276,0.1031265,0.08521271,0.06664276,0.05012512
3580,0.03410339,0.1710892,0.1559982,0.1366882,0.120842,0.1024246,0.0855484,0.06748962,0.05085754,0.03507233
3600,0.1740723,0.1559601,0.1409912,0.122879,0.1051941,0.08750153,0.06993866,0.05079651,0.03485107,0.1723633
3620,0.1571884,0.1391525,0.1226044,0.1050949,0.08848572,0.06871033,0.05132294,0.03486633,0.1742096,0.1579437
3640,0.1416626,0.1245651,0.1064453,0.08797455,0.07151031,0.05316162,0.0345993,0.1764374,0.1592102,0.1406784
3660,0.1242981,0.1068954,0.09197998,0.07353973,0.05348206,0.03791046,0.1927109,0.1609344,0.1417313,0.1245575
3680,0.1101685,0.09075165,0.07253265,0.054245,0.03562164,0.1825943,0.1668015,0.1451416,0.125618,0.1122055
3700,0.09210205,0.07307434,0.05484009,0.03556061,0.1832275,0.1641541,0.1477203,0.1290131,0.1104202,0.09102631
3720,0.07222748,0.05407715,0.03626251,0.1854019,0.1660156,0.148407,0.1290359,0.1125717,0.09228516,0.0753479
3740,0.05471802,0.03765869,0.1873398,0.1715851,0.1477432,0.1310043,0.1119537,0.09358978,0.07295227,0.0553894
3760,0.03767395,0.1874771,0.1691208,0.1519623,0.1332779,0.1131058,0.09432983,0.07408905,0.0554657,0.0373764
3780,0.1902237,0.1713715,0.1528244,0.1319656,0.1148911,0.09511566,0.07485962,0.05574036,0.03726196,0.1899185
3800,0.1744232,0.1524048,0.1348419,0.1148834,0.0958786,0.07569122,0.05638885,0.03749847,0.190834,0.1724625
3820,0.1547546,0.1352234,0.1176834,0.09725189,0.07696533,0.05710602,0.03787994,0.1948547,0.174614,0.155304
3840,0.1387711,0.1172867,0.09804535,0.07835388,0.05755615,0.03995514,0.197464,0.1785583,0.1570129,0.1365356
3860,0.1183167,0.09908295,0.0783844,0.05856323,0.03909302,0.1979752,0.1790085,0.1581955,0.1380692,0.1203308
3880,0.1001892,0.08154297,0.05876923,0.03981781,0.1997375,0.1798248,0.1596375,0.1417465,0.1200256,0.1020279
3900,0.07990265,0.0599823,0.03954315,0.2022476,0.1823654,0.163887,0.142746,0.1212463,0.1010208,0.08184052
3920,0.06077576,0.03980255,0.2037125,0.184845,0.162735,0.1439438,0.1238174,0.1030731,0.08079529,0.06098938
3940,0.04086304,0.2093735,0.1865463,0.1644211,0.1470108,0.1251755,0.1034775,0.08208466,0.0604248,0.04114532
3960,0.2107468,0.1870804,0.1682816,0.1465759,0.1244125,0.1038284,0.08217621,0.06066132,0.04013824,0.2087936
3980,0.1925507,0.1691055,0.1477661,0.1254196,0.1061325,0.08456421,0.0621109,0.04258728,0.2111893,0.1917114
4000,0.1686554,0.1507797,0.128273,0.1082993,0.08364105,0.06192017,0.04148865,0.2123184,0.1912384,0.1694717
4020,0.1500397,0.1282959,0.106926,0.08460999,0.06439972,0.04194641,0.2162018,0.1947632,0.1701889,0.1511307
4040,0.1310196,0.1096344,0.08570099,0.064888,0.0437851,0.2180786,0.1960831,0.1732178,0.1526642,0.1297607
4060,0.1088409,0.08651733,0.0645752,0.04338837,0.2178192,0.1996841,0.1764374,0.155159,0.1307373,0.1100235
4080,0.08670044,0.06477356,0.04260254,0.2217331,0.2003555,0.1765213,0.1546021,0.1431046,0.1233902,0.08752441
4100,0.06601715,0.04405975,0.2234955,0.2022781,0.1788254,0.1552505,0.1336441,0.111084,0.08853912,0.06568909
4120,0.04484558,0.227272,0.2055664,0.1823807,0.1567535,0.1341858,0.1139374,0.09015656,0.06732941,0.0450592
